,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2004-03-04 09:27:46,0.06162866210937501,0.07528754882812501,0.05199023437500001,0.043474707031250004
2004-03-04 09:32:46,0.060776318359375005,0.072208349609375,0.052238037109375,0.04203754882812501
2004-03-04 09:42:46,0.062192041015625,0.0728861328125,0.054810498046875,0.04135927734375
2004-03-04 09:52:46,0.062991796875,0.07343398437500001,0.05426176757812501,0.043128222656250007
2004-03-04 10:02:46,0.061944531250000004,0.07300649414062502,0.053243115234375006,0.0426193359375
2004-03-04 10:12:46,0.0622361328125,0.07331474609375001,0.05501982421875,0.0420359375
2004-03-04 10:22:46,0.06274453125,0.07465488281250002,0.054542431640625,0.043535937499999997
2004-03-04 10:32:46,0.061094580078125,0.072846728515625,0.05285180664062501,0.04239511718750001
2004-03-04 10:42:46,0.0620306640625,0.07459506835937502,0.055356591796875,0.043540185546875006
2004-03-04 10:52:46,0.060960888671875005,0.073988232421875,0.054707470703125004,0.04271010742187501
2004-03-04 11:02:46,0.061740283203125,0.07506513671875001,0.0541384765625,0.042842675781250006
2004-03-04 11:12:46,0.062188378906249994,0.07407514648437499,0.05481733398437501,0.043137890625
2004-03-04 11:22:46,0.062695703125,0.07502802734375,0.05493637695312501,0.04369912109375
2004-03-04 11:32:46,0.061476220703124994,0.073018017578125,0.054036669921875016,0.041982470703125004
2004-03-04 11:42:46,0.06357045898437501,0.07480249023437499,0.054676513671875,0.04312221679687501
2004-03-04 11:52:46,0.0632701171875,0.075108056640625,0.056563720703125,0.043584912109375006
2004-03-04 12:02:46,0.063651025390625,0.07477368164062499,0.05632480468750001,0.043997412109375
2004-03-04 12:12:46,0.06256752929687501,0.073194677734375,0.054266503906250006,0.0432041015625
2004-03-04 12:22:46,0.06280917968750001,0.074359375,0.056748242187500006,0.042992773437500006
2004-03-04 12:32:46,0.06442207031250001,0.074909912109375,0.05581416015625,0.044392382812500006
2004-03-04 12:42:46,0.064988671875,0.0758140625,0.055058203125,0.043765087890625005
2004-03-04 12:52:46,0.06454301757812501,0.07586533203125,0.05841064453125,0.04456923828125
2004-03-04 13:02:46,0.06423139648437501,0.07601538085937501,0.058058837890625006,0.04392841796875001
2004-03-04 13:12:46,0.06323442382812501,0.074536474609375,0.056524658203125,0.043659960937500006
2004-03-04 13:22:46,0.06500078125,0.07548818359375001,0.057069824218749995,0.04390146484375
2004-03-04 13:32:46,0.0638669921875,0.073387060546875,0.055833935546875005,0.043579052734375
2004-03-04 13:42:46,0.062006347656249995,0.07376191406250002,0.056459375,0.04292924804687501
2004-03-04 13:52:46,0.0634849609375,0.07445141601562501,0.0549400390625,0.043819238281250006
2004-03-04 14:02:46,0.062373095703125006,0.07398354492187499,0.05423017578125,0.043811816406249995
2004-03-04 14:12:46,0.063947509765625,0.073813818359375,0.05675004882812501,0.04439589843750001
2004-03-04 14:22:46,0.06328759765625,0.074004150390625,0.0545494140625,0.043195068359375005
2004-03-04 14:32:46,0.062923388671875,0.073531005859375,0.05539677734375,0.043616894531250006
2004-03-04 14:42:46,0.06329248046875,0.07351840820312501,0.055170556640625,0.04384238281250001
2004-03-04 14:52:46,0.063545703125,0.07469086914062499,0.056131787109375,0.043935205078125004
2004-03-04 15:02:46,0.063110791015625,0.0732580078125,0.056575097656250004,0.04366127929687501
2004-03-04 15:12:46,0.06353076171875001,0.07390029296875002,0.055843798828125,0.044263769531250004
2004-03-04 15:22:46,0.06372553710937501,0.07197685546875,0.0543353515625,0.04320937500000001
2004-03-04 15:32:46,0.06336357421875001,0.07423979492187499,0.054408007812500006,0.04422319335937501
2004-03-04 15:42:46,0.063759375,0.0738828125,0.056048388671875005,0.043838525390625
2004-03-04 15:52:46,0.06352607421874999,0.073936669921875,0.05568330078125,0.043715673828125
2004-03-04 16:02:46,0.063239013671875,0.072526318359375,0.054686083984375,0.044189355468750004
2004-03-04 16:12:46,0.06500883789062499,0.075733935546875,0.055162060546875,0.044307519531250006
2004-03-04 16:22:46,0.06228032226562501,0.07296025390625001,0.054537304687499996,0.04287807617187501
2004-03-04 16:32:46,0.063242626953125,0.073175732421875,0.054299511718750006,0.04406640625000001
2004-03-04 16:42:46,0.062447851562500004,0.071648291015625,0.052917382812500004,0.042504003906250004
2004-03-04 16:52:46,0.06160903320312501,0.07281943359375,0.05478432617187501,0.042967431640625005
2004-03-04 17:02:46,0.06271806640625,0.07288623046875001,0.053985107421875,0.04348071289062501
2004-03-04 17:12:46,0.061956689453125005,0.072654638671875,0.054250781250000005,0.04253017578125
2004-03-04 17:22:46,0.06393662109375,0.07394111328125001,0.055394335937500004,0.04440478515625
2004-03-04 17:32:46,0.063817236328125,0.07321728515624999,0.053585986328125,0.04376088867187501
2004-03-04 17:42:46,0.061836572265625,0.07282724609375,0.053744287109375,0.04299736328125
2004-03-04 17:52:46,0.06298139648437501,0.07283115234375001,0.05544736328125001,0.043884716796875
2004-03-04 18:02:46,0.061982470703125,0.072454150390625,0.05307841796875,0.043368945312500004
2004-03-04 18:12:46,0.06327114257812501,0.07297436523437499,0.056087939453125,0.043290625000000006
